"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15"
"13",0.0252771137137051,0.0384438876181863,-0.0151148462787681,-0.0364188334497524,-0.00745800886333691,-0.0324020313953555,0.0220538277235909,-0.00271998986910503,-0.0116935252110325,-0.0683382546381,0.0738914341210716,0.104751736275993,0.0532547350004345,-0.00321122799059064,-0.00518772112042221
"14",-0.00792907698056729,-0.032098577019487,0.0775251483963878,0.00639793049654871,0.0588002528926869,0.0277393315307872,-0.0347236346077937,-0.0125196998537503,0.0292361688730284,-0.107286229570275,-0.00568928448131696,-0.0047287265338706,-0.0333599114354974,0.024951211724825,-0.0208758364658376
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",-0.00598965242601668,0.00979173438611471,-0.0716518838487655,-0.0424141327999465,0.0085878171481254,0.0180581267473713,0.0657376041942948,-0.0603888731219727,-0.0142977494539182,0.0575569495469881,0.0806365137245146,-0.0518239260331379,0.063979978336823,-0.00667479216156175,-0.0402295913808604
"21",-0.0133626287900206,0.0243006275780345,-0.0480988724767713,-0.066343546522449,-0.0388588241151814,-0.0617278027294955,0.0168551640166912,-0.0325897393101307,-0.0605818464580025,-0.0107388785436161,0.0109072735009844,0.0154506777722006,0.0957620534502902,-0.0123398687057046,0.0159941480076357
"22",-0.0284662871149257,0.0229777565513543,-0.0114970842217531,-0.0688553001785946,-0.00492294403763237,-0.0766471042918231,-0.00653594158059651,0.0139790944205327,-0.0271627826689479,0.0169486782499839,-0.0257188834559837,0.0245221539093501,0.0627043651967122,-0.0102680816414886,-0.0154825096917408
"23",-0.0231838650050201,0.00694143895055203,0.0535931549773102,-0.0842180995637296,-0.00868087298624385,-0.0433341449685399,-0.0356209301555442,-0.000370501063433712,0.0248871354057228,-0.013154490538878,-0.0557560562424714,-0.0158736227023216,-0.0111889890786092,-0.024988374775706,-0.0346867266840852
"24",-0.0246913765455025,0.00802557266026073,0.0628385401850021,-0.0706483133236326,-0.0192744800036798,-0.0411435796227053,-0.0275992913026262,0.0311141228700838,-0.0234535640011791,-0.0163279924185981,-0.0531476530145019,-0.0216260470612455,0.0247372941599737,0.00124016920987636,-0.0384333772201206
"25",-0.0281717873244882,0.014094378508623,0.0375756741660021,-0.0818649229898688,-0.0112720183515035,0.000705525146657225,-0.0100472094921311,-0.0243456416872611,0.0387739372250302,0.040200596961805,0.00741016272373303,-0.0689901081852073,-0.00301364833019756,-0.0220407647367999,-0.0149068641720569
"26",-0.0247325941096569,0.000971662801144223,-0.0183920490247585,-0.0776313311205074,0.0104474389580413,-0.0448527062456517,-0.00157501858229597,-0.00570911468308392,0.000587811868669859,0.0869195036007776,0.0159558003201571,-0.0672528635961386,-0.0413073585345976,-0.0500502111824129,-0.00820931146816867
"27",-0.0237000454701558,0.0336976257666303,0.0253934714664962,-0.036209250038752,-0.0665153019260476,-0.00454248739987918,0.0316292552414082,-0.049781308263098,-0.0216418751716655,0.0493827784555303,-0.0575295919085378,0.00734535461244988,0.0576995371114983,-0.0671465623195835,-0.0650962871633876
"28",-0.0338256816279459,0.0319427967127139,0.0289132035538928,-0.0236212029062886,-0.0717857702243133,0.0340340396744933,0.0252821062290286,-0.0302490577279748,0.0112245570138448,0.0133267850395783,-0.0101961512628592,-0.00281651919850645,0.00680493478336362,0.00113109918426303,0.0829479421054632
"29",-0.0419353166712875,0.026357975652504,-0.00662054279287459,0.00862238365054076,-0.0346169201228296,0.0433416031982706,0.00971488678077788,-0.00626967778063161,0.0208069424375702,0.0121803060207196,-0.022472755614596,-0.00422569927243754,-0.0184407734214257,-0.0109081473747255,-0.0210976721330575
"30",-0.0378742745145603,0.0278358786605161,-0.0365009821585114,0.0247050521456799,-0.0256992734982531,0.0494685498813643,0.0145433925038058,0.00976656246676022,-0.0164554191189228,-0.0350362971541516,-0.0109436199349683,-0.0251121278665104,-0.0221422831432166,-0.0180107732867235,0.0260671453675175
"31",-0.0318875347444319,0.0335453902213889,-0.016535267889312,-0.0012395324285636,-0.0514610722953133,0.0447015675807566,0.0340187923905102,0.0497346878823401,-0.0308112468604817,-0.0289059627922794,-0.00821151297161508,-0.0626590382905145,0.0379581970532848,-0.0174756500514521,0.0481603163122783
"32",-0.0290144844470342,0.032468576788853,-0.0157564270143201,0.0113189848588499,-0.0452183468719374,0.071448687865661,0.021483483400104,0.0718062208460628,-0.00825613638758787,-0.0312970670370687,-0.0346152935161902,-0.00774723560312507,0.0131551430207152,-0.0448180374751034,0.044703337653064
"33",-0.0308444830742676,0.0280535659802005,-0.0183789186139069,0.0401242639066033,-0.0161868472651285,0.043116077351183,0.0752681420236866,0.0275829133670083,-0.0421154895277254,-0.0105049616729843,-0.0330894856532411,-0.0292035495251272,-0.00523424551130965,-0.0510736048528469,0.128892982374913
"34",-0.0327385335175298,0.0284180031074987,-0.00156154173778934,0.044471830776804,-0.0125382644389643,0.00875261513838363,0.0776160912075739,0.0371485990505982,-0.0415886546644815,0.0154729159902136,-0.0377087166270396,-0.00820860841987957,0.0131763414410191,-0.0435430952142253,-0.00226958248413688
"35",-0.0301283251883766,0.0281090124537091,0.0331516071538435,0.0375541691367006,0.0392472742614277,0.032000977882549,0.00748071955207782,0.030529296079947,0.0029184857450023,-0.0444097555478982,-0.00671907286308865,0.00439424314932195,0.0532066786394324,-0.1084748321087,0.0469767261923972
