"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13"
"50",5.75,120.75,374.208746293789,405.922480120519,318.596836548755,323.536166278737,374.468358726946,356.932920967246,320.732599144597,342.785214257796,356.890028455746,375.279316093427,392.556356384007,303.936562299359,429.28572320377
"51",5.75,121.25,375.135358216144,420.732520040575,345.480623293395,362.735648684586,378.545121477022,381.182607488921,328.710125168629,358.048726388711,374.788712254904,399.142272553187,399.871029175804,338.789461888508,427.944144720061
"52",5.75,121.75,369.949054830153,421.618396209017,379.282523767153,375.365493752567,385.786244706662,400.488875644655,358.662122405661,381.796575504827,390.548914887144,415.550186557949,411.252620848152,383.603622007539,431.457651151777
"53",6.25,109.25,384.795710348694,413.375550410684,391.859493326466,414.164547055354,415.09139943252,402.648397040933,381.262609899524,397.578855574523,400.883363294647,406.149858124883,417.634979741152,411.181321926224,425.338319000259
"54",6.25,109.75,383.761738444772,404.221336615682,392.662449514551,437.180020604561,426.428857517314,398.099124234295,380.33804902748,396.788167546929,403.90604139178,401.708790020381,423.580001358716,416.462008146186,424.123489447914
"55",6.25,110.25,385.763108960305,404.559389717325,389.354395091377,415.475867185344,417.766022334097,397.331389576346,382.259524738069,396.920129567685,398.78616419429,398.484976818355,421.043608395167,415.456445976244,423.979035980227
"56",6.25,110.75,372.962809560427,407.001924951601,400.656578684256,425.105081808172,415.346164643085,398.194558052345,382.509576648042,396.580395424948,407.892777237877,400.277684227851,421.016536533977,434.89164705151,416.893661068971
"57",6.25,111.25,368.990688790859,407.383764961999,405.336837961813,416.136807862491,401.816348048115,405.00335196181,381.942907822334,397.858529527963,406.114123457667,409.231152774091,421.006034187526,442.723396655551,418.235297799036
"58",6.25,111.75,391.16128568001,414.034699598396,407.452505871377,421.679604221467,409.800624779291,410.442916279517,393.688112421354,405.359199264921,410.285904930092,409.880034851206,418.276564281047,438.297181068675,416.797442041588
"59",6.25,112.25,393.918219920092,418.904911119848,405.319919143474,416.811670089933,414.519261708384,406.627678184701,395.666858634444,404.591101971134,412.778368627565,403.936195506674,415.918404144794,433.244317127644,414.829219770598
