"","Grid_lat","Grid_long","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"81",6.75,110.25,410.57,411.09,419.08,421.72,411.12,420.19,416.8,414.42,420.05,416.26,422.4,413.52,410.87,416.53,418.48
"82",6.75,110.75,408.02,413.32,419.81,421.94,413.54,421.65,414.19,417.62,420.8,416.23,422.27,415.09,412.19,418.06,420.57
"83",6.75,111.25,406.01,414.57,417.58,421.44,414.85,420.84,413.92,418.97,420.81,417.35,423.6,416.91,413.72,419.72,422.07
"84",6.75,111.75,408.36,416.23,418.73,419.27,416.6,418.89,417.14,419.45,420.72,414.7,424.6,416.5,413.36,419.43,421.96
"85",6.75,112.25,411.23,413.49,419.89,421.03,419.09,419.9,419.92,420.29,418.97,417.45,424.46,418.33,414.13,421.84,421.14
"86",6.75,112.75,410.73,414.18,420.32,420.24,419.46,420.95,418.1,421.18,419.94,417.15,423.87,420.55,413.12,420.32,421.14
"87",6.75,113.25,411.74,413.45,420.44,420.7,419.89,422.12,420.31,420.17,420.94,414.84,424.04,421.45,415.36,417.62,420.57
"88",6.75,113.75,415.23,415.91,421.02,421.62,420.63,422.18,421.39,421.47,422.64,414.6,424.36,419.48,416.04,420.01,419.84
"89",6.75,114.25,417.88,415.74,420.01,421.94,419.39,423.69,420.02,421.06,422.67,415.66,424.39,419.56,417.41,420.14,420.58
"90",6.75,114.75,417.91,418.76,417.91,420.45,419.65,422.26,421.84,420.95,423.47,419.15,423.5,419.41,421,422.63,419.74
"91",6.75,115.25,418.29,420.92,418.58,420.84,420.06,424.06,422.58,422.55,418.48,420.98,423.34,422.87,423.78,423.49,419.21
"92",6.75,115.75,419.76,422.33,420.51,421.85,420.06,423.85,422.36,423.41,418.11,421.57,423.32,424.19,423.48,425.03,421.42
"93",6.75,116.25,423.26,426.79,423.34,425.72,425.28,428.24,423.57,423.06,423.39,425.73,423.25,426.75,426.45,428.25,426.28
"94",6.75,116.75,419.47,421.88,421.87,422.58,426.41,424.75,411.86,410.72,418.74,420.05,415.93,422.03,427.89,425.65,425.39
"95",6.75,117.25,430.81,433.64,434.84,433.91,437.6,439.74,423.32,424.75,426.33,435.76,428.6,432.86,437.23,433.84,430.29
"96",6.75,117.75,428.83,431.37,431.32,430,432.93,433.08,429.85,426.89,423.6,431.45,432.74,432.11,432.26,432.23,431.78
"97",6.75,118.25,419.31,423.53,422.35,426.84,422.55,425.64,422.84,425.5,423.1,427.68,428.49,426.24,424.95,427.63,423.39
"98",6.75,118.75,413.85,422.39,419.98,424.66,416.3,423.22,420.33,423.7,417.75,422.82,427.5,421.68,421.6,425.6,420.36
"99",6.75,119.25,415.2,420.26,421.3,419.89,412.85,424.48,419.26,421.43,419.15,420.72,426.31,418.25,421.37,425.97,418.25
"100",6.75,119.75,416.61,421.64,420.1,419.02,408.81,423.36,422.85,420.75,417.47,420.27,425.94,420.36,420.04,426.85,418.74
